"","tweets","sentiment","date","at_dummy"
"24","loving the new moon trailer. can't wait till november ",4,"Tue Jun 02 08:56:27 PDT 2009",0
"25","@globenetcom www.everywun.com = new site 4 ppl 2 impact world 4 free - planting 1 tree 2day per sign-up! Would love 4 u 2 check us out ",4,"Fri Jun 05 16:10:18 PDT 2009",1
"26","@lesanto i knew it would be over ur head.. Its from a new dmb song is all! ",4,"Mon May 18 05:41:56 PDT 2009",1
"27","@Adityaolivier addy you update A LOT dont you ",4,"Mon Jun 01 07:24:46 PDT 2009",1
"28","Watching volverte a ver! ",4,"Fri Jun 05 23:27:04 PDT 2009",0
"29","@SoSpoiledDats.. I know right.. it really isn't so much his fault it's just the circumstances.. Can't really be mad at him..  but I'm sad.",0,"Mon Jun 01 20:28:53 PDT 2009",1
"30","Reading the newspaper with a headach ouchie ",0,"Sun Jun 21 03:30:55 PDT 2009",0
"31","@ElectroxBoosh Any time  xxxxxx",4,"Sat Jun 06 02:19:32 PDT 2009",1
"32","@buxfer just signed up. Love it! But my graph us distorted ",0,"Sat May 09 22:01:10 PDT 2009",1
"33","Ugh... I'm about to go crazy! An 18 mo. old and a 5 year old... ",0,"Sat Jun 20 21:20:30 PDT 2009",0
"34","This always happens to me  its not fair to get ur hopes shot down on a daily baises ...",0,"Sat Apr 18 10:25:08 PDT 2009",0
"35","@radioplay http://twitpic.com/6g0m7 - Yay! #41 is my fave!  I ♥ #dmb!!!",4,"Tue Jun 02 05:03:48 PDT 2009",1
"36","@TVCasualty Pssh, what is this early morning wake up that no-one wants. I wanted tons of sleep, back to work on Monday ",0,"Sat Jun 20 02:49:17 PDT 2009",1
"37","Über glad to be back home!!! And my flowers didn't die... Had an awful dream they died b/c of recent weather  They are alive and well!!",4,"Sun Jun 07 10:58:23 PDT 2009",0
"38","@oceanician But right now getting to anything outside my house is pretty impossible so I'm gonna have to co-work with Friends ",0,"Thu Jun 04 09:40:56 PDT 2009",1
"39","On my way to Ibar with my twin  @Sleepygurl214 Lol",4,"Fri Jun 05 21:13:21 PDT 2009",1
"40","Drama has completely ruined my enjoyment of Mack The Knife ",0,"Fri Jun 05 12:25:21 PDT 2009",0
"41","@_Geno because ur phone is just as special as you ",4,"Mon Jun 01 06:50:26 PDT 2009",1
"42","@AnthonyG47 it's nice! But twiiterific has themes u can choose this 1doesnt  but I can c my followers!;)",0,"Tue Jun 23 10:20:04 PDT 2009",1
"43","obsessed was AMAZING! ",4,"Sun May 03 01:00:31 PDT 2009",0
"44",": My poor baby! I want to hug him.  - http://img.photobucket.com/albums/v389/Monika05mtt/Rob/PoorBaby.jpg",0,"Wed Jun 17 18:03:10 PDT 2009",0
"45","My tea is cold ",0,"Tue Apr 07 05:07:12 PDT 2009",0
"46","home from track and field and failed at all sport ",4,"Thu Jun 04 23:03:23 PDT 2009",0
"47","HOLY CRAP! guess what... in the X_Men origins; Wolverine game, the cake is NOT a lie!  neat... Logan likes cake.",4,"Thu May 14 01:16:14 PDT 2009",0
"48","Reno 911... I'll always remember you for what you were, but its just not the same with this different cast. I'm going to need some time ",0,"Tue Apr 07 08:05:35 PDT 2009",0
"49","GOD, I want my memory back. I need it. Please. ",0,"Sat Jun 06 12:46:21 PDT 2009",0
"50","If it rains one more day in NYC imma b upset  where is my sunshine",0,"Mon Jun 15 05:10:22 PDT 2009",0
"51","drinking+trampoline wrestling ain't no way to live  someone rub my head",0,"Sat Jun 06 01:43:31 PDT 2009",0
"52","Oh man, haven't felt this bad in a long time. ",0,"Sun Jun 21 08:40:25 PDT 2009",0
"53","@blkcadi No I missed it! Damn it!  Broomhead got it.  I will be kicking my self all night ",0,"Fri Jun 05 19:42:24 PDT 2009",1
"54","@luxeredux We, oohhhhh so agree with you!  Maybe coffee in the morning is the only thing  ",4,"Tue Jun 02 05:40:12 PDT 2009",1
"55","So..just couldnt resist the new slip n slide...apparently they dont make them for adults  note to self: baby oil gel does not work. ideas?",0,"Sun May 31 17:31:00 PDT 2009",0
"56","I ordered two pairs of shoes from Zappos yesterday morning and they'll be here tomorrow. Free shipping. I love Zappos ",4,"Sun May 17 10:05:45 PDT 2009",0
"57","I'm watching inside my new Twitter account ",4,"Tue Jun 02 00:30:27 PDT 2009",0
"58","one part of the final translation exams behind us. That was tough  One more part today, 10:00 AM.",0,"Sat May 16 19:42:44 PDT 2009",0
"59","Aww. I missed another chance of getting a reply from @ddlovato  ",0,"Wed Jun 03 00:50:47 PDT 2009",1
"60","@broken_thought Yayyyyy! I can't wait! ",4,"Tue Apr 07 01:49:27 PDT 2009",1
"61","i feel so siiiiiick :'( headache &amp; blocked nose!!!  BUT I GET TO SEE MY COUSIN TODAY!! ",0,"Sat Jun 20 17:15:22 PDT 2009",0
"62","@TraceCyrus have you tried www.picnik.com ?? cause you can edit and resize pictures there ",4,"Sat Jun 06 04:18:37 PDT 2009",1
"63","@JimmyJames70 HAHA.. sweet.. I'm SO gonna get me some spicy chicken wrap now.. lol. Thanks for the advice! ",4,"Sat May 30 08:26:58 PDT 2009",1
"64","It's way too early in the morning to pick strawberries..... hmph... ",0,"Thu Jun 25 04:33:01 PDT 2009",0
"65","nothing to do ",0,"Wed Jun 17 21:22:39 PDT 2009",0
"66","@dweenz ooooooo my [[uu]] kno me so well  what a doll !! I Jst finished caUsing problems I was screamin on him smh @ hiim",4,"Sun Jun 07 15:58:55 PDT 2009",1
"67","It's a BOY!!!   7lbs 1.9 ounces  Plenty of hair, and cute.    Kathryn did great, and is recovering.  Now we just need the name...",4,"Sun May 31 02:44:06 PDT 2009",0
"68","5.11.80 - 6.6.98 miss you brother ",0,"Sat Jun 06 16:44:45 PDT 2009",0
"69","Wherever I go, Hot Topic will always feel like home. Espically when they play Cath.  &lt;3",4,"Sun Apr 19 10:25:36 PDT 2009",0
"70","@SusanMcLennan  Yes, in my blood.  You mean like a heroin addiction?  Absolutely ",4,"Sun May 03 17:39:17 PDT 2009",1
"71","@karinab6 a friend paid for my tix for me, as a loan since I don't have my SSI yet. I feel so grateful! ",0,"Sat Jun 06 12:35:10 PDT 2009",1
"72","trying to stuff as much stuff as possible into the packet I'm going to mail home. hating on the air travel luggage restraints! ",0,"Sat Apr 18 07:55:57 PDT 2009",0
"73","I really miss Shafik! ",0,"Thu Jun 18 23:00:03 PDT 2009",0
"74","@esmeg Oh, like you're ever uninteresting. We all whine. All of us. ",4,"Mon Jun 15 10:57:43 PDT 2009",1
"75","is off to go read some more..... it seems i am going through a bit of a reading frenzy ",4,"Tue Apr 21 03:10:59 PDT 2009",0
"76","follow friday ; @PleaseBeMine + @xSeniz  awesome girls, that makes it even more fun to be on twitter! :'D &lt;3",4,"Fri Jun 05 12:32:30 PDT 2009",1
"77","@Sydeney OMG. I wonder what happened to the plane! ",0,"Mon Jun 01 05:09:48 PDT 2009",1
"78","Eyes puffy from make up being left on last night is sad ",0,"Thu Jun 18 07:59:24 PDT 2009",0
"79","@Lady_Jenny and ernie singing was incredible the concert is over now ",0,"Sat May 16 20:13:50 PDT 2009",1
"80","I'm awake, have a cold, still in bed and hungry ",0,"Sun Jun 21 02:12:06 PDT 2009",0
"81","is about to listen to the LAST Football Weekly podcast of the season... damn, how am i gonna get thru the next few months without it?? ",0,"Mon Jun 15 06:20:14 PDT 2009",0
"82","@robygirl53  Hi Robyn  Hows things .",4,"Mon May 18 00:33:11 PDT 2009",1
"83","@johncarlton007 Haha you NEED to try the Maharaja IPA from Avery... SO good  [and it's almost 11% -- a TRUE Imperial]",4,"Sun Apr 19 22:57:48 PDT 2009",1
"84","@moogal I cannae sorry. Am doing walk for life then off to thorpe park. ",0,"Sun Jun 07 04:39:41 PDT 2009",1
"85","I need a really good fanfic to read  Preferably a long one, to keep me busy. Any suggestions?",0,"Thu Jun 18 13:02:51 PDT 2009",0
"86","Oh gosh..why am i even awake please?! ",0,"Sun Jun 14 23:27:05 PDT 2009",0
"87","mmm i love him &lt;3 i truley do ",4,"Mon Jun 15 04:50:39 PDT 2009",0
"88","A quote from Sir Winston Churchill ~ I am an optimist. It does not seem too much use being anything else.  Have a happy Monday ",4,"Mon Jun 15 04:34:34 PDT 2009",0
"89","i've got sausage and egg sandwiches for breakfast, yay! ",4,"Sat Jun 06 01:19:39 PDT 2009",0
"90","@wishdreamhope i can't find iiiiiiiiiiiiit   but it's for raising the bar show, if i ever find it, i'll send it to you right away...",0,"Fri Jun 19 18:40:08 PDT 2009",1
"91","Haha yes i have to leave  im with my cousin right now. The one we went to the mall with lol",0,"Fri Jun 19 22:39:34 PDT 2009",0
"92","tummy ache and headache great!  =/",0,"Sun Jun 21 05:30:47 PDT 2009",0
"93","@tommcfly So you did play DGAO yesterday  I didn't know and I'm watching a vid of this right now. My favorite song at the moment. x",4,"Sun Apr 19 06:09:22 PDT 2009",1
"94","enjoying my sunday afternoon. i gotta start looking for a job soon... ugh! what a drag! wish i never ever had to work ",4,"Sun Jun 07 15:20:08 PDT 2009",0
"95","@quepasakylie i cant im on tje itouch.  that sucks...",0,"Sun Jun 07 12:22:18 PDT 2009",1
"96","@Anjiro that url (inside the image) isn't working... pretty one though. ",4,"Mon Jun 15 11:56:34 PDT 2009",1
"97","@MechaGanon Yes yes yes! I don't think I'll make your party this weekend...surprise visit from my cousin...Greeeat. ",0,"Mon Jun 01 19:01:33 PDT 2009",1
"98","Back home from town, had a good time and looking forward to sleeping in my own bed tonight instead of in a van ",4,"Sun May 31 15:23:32 PDT 2009",0
"99","@BTGG wow...that totally sucks  pple r really rude!",0,"Wed Jun 17 17:34:26 PDT 2009",1
"100","The Thursday Slump ",0,"Thu Jun 18 05:57:33 PDT 2009",0
"101","RIP, Lilly ",0,"Thu May 28 21:27:13 PDT 2009",0
"102","feels uneasy without my star necklace. where is it?!?!? hope it's at home... ",0,"Wed Jun 17 20:30:20 PDT 2009",0
"103","Goodnight, can't wait for school in the morning! ",4,"Tue Apr 07 00:18:55 PDT 2009",0
"104","@cateatscanary hurry up and get one!!  I'm thinkin my next one will be in August!!",4,"Sat Jun 06 13:16:47 PDT 2009",1
"105","@HeatherBabyy_x Hello there ",4,"Sat May 02 05:22:19 PDT 2009",1
"106","@toddmeg14 wow, not long then!! i wish i could say the same!!   did you frame your dm??!!",0,"Tue Jun 16 12:11:55 PDT 2009",1
"107","@ictdchick hi Melissa. Post lots of photos please! ",4,"Tue Jun 02 00:52:59 PDT 2009",1
"108","Atrocious start for Rubens tho  #f1",0,"Sun Jun 07 05:04:46 PDT 2009",0
"109","@Liberalviewer1 I absolutely agree. I am never over confident, but it foesn't hurt to put the thought out there for weak minded to follow ",4,"Fri May 29 22:22:07 PDT 2009",1
"110","@getape I had bad net issues on Weds so couldn't broadcast  Am on tonight tho... tune in for new anthems and bad mixing!",0,"Fri May 29 08:15:40 PDT 2009",1
"111","yihaa, in the plane waiting to fly to Spain ",4,"Fri May 29 23:48:21 PDT 2009",0
"112","I think I´ll become sick  *hust*",0,"Sat Jun 06 12:45:52 PDT 2009",0
"113","Almost outa preacher issues.  (via @LostVegas) yup,  same here",0,"Sat Jun 20 14:50:58 PDT 2009",1
"114","Going to sleep on clean, new sheets. ",4,"Mon Jun 01 22:49:59 PDT 2009",0
"115","Holla at u later!!  going to Gonzalez in the Grove,,, say whats up if u see me there!",4,"Sun Jun 07 10:40:20 PDT 2009",0
"116","Slightly intoxicated  yes on a suinday ;)",4,"Sun Jun 07 18:11:31 PDT 2009",0
"117","@motherpusss ignore kirby... It did that when I made a sad face? ",0,"Thu Jun 18 00:57:44 PDT 2009",1
"118","@PixxelateHost Nose! ",4,"Mon Jun 15 12:24:52 PDT 2009",1
"119","hmm, think it's gonna be another night of no sleep..GREAT:/ didn't have such a lucky day, but..OH WELL (: ....swaaaag;P ",4,"Mon Jun 01 22:45:56 PDT 2009",0
"120","@danniSTACK awww  Hope you get better soon  &amp; yeah, people suck sometimes :L",4,"Mon Jun 01 02:40:34 PDT 2009",1
"121","@onyxbox Nino's...ahhh. Always enjoyed their hot choc. ",4,"Sun Jun 07 05:26:55 PDT 2009",1
"122","Off to the brand new NY Yankees Stadium for a field event.  I brought my Red Sox gear ",4,"Mon Jun 01 12:25:09 PDT 2009",0
"123","dance rehersal, work, dance recital. can't even go home in between  busy, busy day.",0,"Sat Jun 20 07:20:04 PDT 2009",0
"124","@HayleySmith16 mateee, text mee ",4,"Sun May 31 11:56:01 PDT 2009",1
"125","@zaibatsu aww nooo i was just playing around caus a friend told me 2.deleted them all when I saw it LMAO but thank you  yeah I like em ",4,"Sun Jun 07 04:04:13 PDT 2009",1
"126","@megelder excellent tip  Makes wonder what you liked best. Bone's try at manipulating people or Ms. Strawberry *lol",4,"Tue Apr 07 00:22:37 PDT 2009",1
"127","@iKurt Nah, man in Hong Kong still hasn't posted replacement screen. I reckon it might be a while  The interior needs de-griming anyway!",0,"Wed Jun 17 05:03:31 PDT 2009",1
"128","got to learn for the exams tomorrow!! (gosh, how many times that i should mention that to my self !? :p) well, bye.. ",4,"Sun May 31 04:35:06 PDT 2009",0
"129","omg d.o.a is sooo hard cant waitt until 9/11 ",4,"Fri Jun 05 23:53:26 PDT 2009",0
"130","Is the PFC chat down for anyone else? i am getting really upset that i can't talk to my parafamily.                   ",0,"Mon Jun 15 22:51:31 PDT 2009",0
"131","I want that Super Card ",0,"Tue Jun 02 01:22:34 PDT 2009",0
"132","off to bed now- watch spnl on my ipod...feel sick again &gt;  oh well, its ITB, so alot of cas for me- make me feel better cas! *sob* ",0,"Thu Jun 18 15:12:09 PDT 2009",0
"133","Kids are helping Jesse make brownies. So cute. ",4,"Sun May 17 11:21:45 PDT 2009",0
"134","@Jonasbrothers Congratulations on your new album being realised today ",4,"Mon Jun 15 12:22:47 PDT 2009",1
"135","@CrunchyK Awwww  I'm sorry to hear you are sick hun. I hope you feel better fast!",0,"Wed Jun 03 06:51:55 PDT 2009",1
"136","@billyraycyrus-  &quot;It's not how many years you live,but how you live your years&quot; - love this.. makes me think  about it.. ",4,"Fri May 29 13:03:35 PDT 2009",1
"137","@SarahKSilverman But the &quot;w&quot; looks like fangs.  Does that mean Jews are vampires?  Don't wanna be a vampire. ",0,"Sun May 03 20:50:55 PDT 2009",1
"138","says bakit ang mahal naman magpagupit?  http://plurk.com/p/z79u1",0,"Sun Jun 07 19:54:14 PDT 2009",0
"139","@Special__K__ as if it was all for Joe  .. uh huh ... grats ",4,"Fri May 29 00:47:31 PDT 2009",1
"140","@hellorhiannon he does! hes actually so evil, and hes like convincing everyone that dot has went insane ",0,"Mon Jun 01 12:47:22 PDT 2009",1
"141","@DonnieWahlberg YEAH! St. Louis and Memphis Baby! Party with the BTTW girls on June 30th at Harrah's  http://www.twitpic.com/5o4eu",4,"Mon Jun 15 19:02:10 PDT 2009",1
"142","is working at Theory today...but my tummy hurts! ",0,"Sat Jun 20 09:01:03 PDT 2009",0
"143","@Lybbe Day was really good, at night my be in groups. Got 3 novices, 1 didn't like rough ground in the dark  V slow, lost hours (lit) then",0,"Sun May 10 03:37:23 PDT 2009",1
"144","@JarodC Hey! Yes I love the whole damn playlist! You ROCK.  Now where were you tonight, I even wore my &quot;fuck me&quot; dress.",4,"Sat Apr 18 23:53:10 PDT 2009",1
"145","opening of classes moved from monday to june 15...good...still have time to catch up on my readings and accomplish some task ",4,"Sat Jun 06 06:47:28 PDT 2009",0
"146","Im in Cebu! ",4,"Sun May 31 04:44:32 PDT 2009",0
"147","@fridley Don't know    The database problem has been &quot;10mins from being fixed&quot; since 4.45pm.",0,"Fri Jun 19 01:41:41 PDT 2009",1
"148","@Sarcia you are kind of freaking me out :S  :S ?",4,"Sun May 31 09:51:41 PDT 2009",1
"149","Just got home from the mall and dinner. Back to work tomorrow ",0,"Wed Jun 17 17:34:56 PDT 2009",0
"150","i must do my homework ",0,"Thu Jun 18 03:50:04 PDT 2009",0
"151","Grawr crazy bored ",0,"Sat May 09 23:50:01 PDT 2009",0
"152","@moonfrye when I opened up my mouth within earshot of someone and said something I should have kept to myself ",0,"Thu Jun 25 07:17:02 PDT 2009",1
"153","@thepioneerwoman If y'all get the chance, take the girls to the American Girl Place on 5th Ave. I'm 24 and I still love it. ",4,"Sat May 30 13:59:27 PDT 2009",1
"154","you know its cold in your office when you have to huddle over a cup of hot water for warmth ",0,"Fri Jun 05 10:41:19 PDT 2009",0
"155","you know what's NOT fun? being financially responible and saving money. know what is? buying cute clothes online!  ugh hate responsibility",4,"Fri May 29 11:02:40 PDT 2009",0
"156","@shannatrenholm lol... you are so welcome ",4,"Fri May 29 21:58:05 PDT 2009",1
"157","Working  On lunch now of course, would I be online while working!! Of course if I could - ahem!!!",0,"Mon Apr 20 06:59:57 PDT 2009",0
"158","@WeSupportNiley Np your amazing ",4,"Sun Jun 07 13:06:57 PDT 2009",1
"159","Work, tomorrow  so looking forward to the wedding on saturday though, tissues will be needed!",0,"Sun May 31 15:19:38 PDT 2009",0
"160","Shoot today  soooo early!",4,"Sun Jun 07 05:33:07 PDT 2009",0
"161","I watched &quot;Hot Rod&quot; with @isla_fisher last night and wow, she has got to be the most beautiful woman in hollywood! I really mean that! ",4,"Mon May 18 08:04:32 PDT 2009",1
"162","@kvrjmc93 hey dudes ! ",4,"Sat May 30 13:14:57 PDT 2009",1
"163","I wish I was outside on the gorgeous spring day! ",0,"Sun May 31 11:01:50 PDT 2009",0
"164","@valbaby320 naw. Fable II. Sims 3 almost crashed my comp. So I don't have it anymore ",0,"Mon Jun 15 15:58:23 PDT 2009",1
"165","@DefectedRecords -Ahhh, i wanna be there! ",4,"Sat Jun 06 04:30:08 PDT 2009",1
"166","2 hands and 1 mouth - now thts a real DRINKING PROBLEM  ",4,"Sun Apr 19 00:22:25 PDT 2009",0
"167","@stujallen well Prince Philip is sure to like a Greek act ",4,"Fri May 29 14:18:17 PDT 2009",1
"168","slacking... down with headache on wet friday night ",0,"Fri Jun 05 17:46:28 PDT 2009",0
"169","@jlieu Making that ugly go away? Glad to hear it! Have a great day ",4,"Fri Jun 05 16:45:01 PDT 2009",1
"170","@mileycyrus Dont be miley you are an amazing singer and person! and i love you so much. am watching hannah montana right now ",4,"Fri May 29 11:23:20 PDT 2009",1
"171","@ayanojennifer you have no idea how much I miss you. I guess just how things used to be. Acceptance singalongs at the top of our lungs. ",0,"Fri Jun 19 16:40:40 PDT 2009",1
"172","Ugh work ",0,"Sat Jun 20 06:33:39 PDT 2009",0
"173","is back at the office... ",0,"Mon Jun 15 09:37:26 PDT 2009",0
"174","this is legit the world's most boring job!!!!! ",0,"Sat May 30 11:32:13 PDT 2009",0
"175","@arian_marie i'm so sorry to hear about your loss  my thoughts and prayers are with your family in your time of grief.",0,"Fri May 29 12:03:18 PDT 2009",1
"176","#myweakness Funny Boys  &amp; British Accents ;)",4,"Fri May 29 19:08:16 PDT 2009",0
"177","@missfree Goooooood Morning, Free...Glad to see more ppl Bubbletweeting. My man Kev created a great service didn't he. ",4,"Fri May 22 04:44:10 PDT 2009",1
"178","@Fun_Girl_Jane we are missing you at the Maxim Party! ",0,"Wed May 13 23:10:46 PDT 2009",1
"179","@ShirleyHAC_09 AAWWWWW Youre heart sick! POBRECITA ",0,"Mon Jun 15 09:19:09 PDT 2009",1
"180","@ebhyboll thanks for following ",4,"Sat May 30 23:09:16 PDT 2009",1
"181","I am really worried about tomorrow. There is going to be terrible bloodshed! No doubt about that!  I just hope I am wrong...",0,"Fri Jun 19 16:34:54 PDT 2009",0
"182","@mileycyrus I was wondering if you had a facebook account =/ or are all those people just posers ",0,"Sat May 30 01:45:29 PDT 2009",1
"183","I haven't voted yet ",0,"Sun Jun 21 05:35:03 PDT 2009",0
"184","@Tifftiff1973 Sorry to hear that ",0,"Fri Jun 19 06:43:37 PDT 2009",1
"185","yey, am crescut si io mare si am intrat in randul lumii... am PR3 ",4,"Fri May 29 07:53:14 PDT 2009",0
"186","This is what I'm talking about..  leaning against a tree in the sun  let's hope it helps me relax, eh? http://yfrog.com/5jd1udj",4,"Mon Jun 01 02:32:41 PDT 2009",0
"187","im going to watch the MTV movie awards becasue of new moon trailor... soooooo excited for it i can't wait yaaay ",4,"Sun May 31 16:25:54 PDT 2009",0
"188","On my phone ",4,"Sat Jun 06 14:21:33 PDT 2009",0
"189","poopy weather  SATs tomorrow...kill me",0,"Fri Jun 05 14:41:26 PDT 2009",0
"190","@beebopbecky the BLINK 182!!!!!!! concert i was gonna go to is postponed........    ",0,"Fri Jun 05 10:50:32 PDT 2009",1
"191","woke up and getting ready for school...joys ",0,"Mon Jun 15 03:40:32 PDT 2009",0
"192","@mdixson lol thanks. I needed a good laugh this morning ",4,"Mon Jun 15 02:15:10 PDT 2009",1
"193","The new Kate Moss Topshop collection has me gagging for summer. Still wearing winter coat. Still a ways to go yet ",0,"Tue Apr 07 03:52:19 PDT 2009",0
"194","@fredrikn : Travelling back to Stockhom for internet access?  Where did you move to?",4,"Tue Jun 02 05:17:57 PDT 2009",1
"195","@herexception ... i saw an extended clip on youtube ",0,"Mon Jun 22 11:30:56 PDT 2009",1
"196","i think everyone needs a little bit more cheesyness in their lives ",4,"Tue Jun 16 03:19:24 PDT 2009",0
"197","@pibby I do &amp; so do the people on the subway as they look over my shoulder. ",4,"Mon Jun 01 22:10:04 PDT 2009",1
"198","I like musical comedies ",4,"Fri May 29 21:05:41 PDT 2009",0
"199","@johnmaine i wanted to say thank you for signing the sign for my friend and for leaving a msg on her phone, she said she cried ",4,"Sun May 03 04:33:20 PDT 2009",1
"200","@itsnoel thanks for your tweet n help. Appreciate it ",4,"Sat Jun 06 20:06:52 PDT 2009",1
"201","time for lunch....more rabbit food.......yoohoo ",0,"Thu Jun 18 11:26:33 PDT 2009",0
"202","@ausaudriel so do exams ",0,"Sat Apr 18 09:50:29 PDT 2009",1
"203","at work till 8:30 ",0,"Tue Jun 23 14:34:53 PDT 2009",0
"204","in a few moments I will be off to dreamland  got a long flight tomorrow good night arabia",4,"Sat May 30 13:45:19 PDT 2009",0
"205","My attempt at egg-in-a-hole was FAIL.  Wish @percussivebunny were here to make me one. ",0,"Mon Apr 20 01:50:56 PDT 2009",1
"206","off to destination 2... going to drink at the Cinebistro and watch The Hangover!  I love my nights with Allison ",4,"Sat Jun 06 18:27:56 PDT 2009",0
"207","Crappy day  My DVD didn't arrive and the bookstore Eclipse in stock. How am I supposed to survive?!",0,"Mon May 18 06:04:57 PDT 2009",0
"208","@_Omitsu_ I'm so glad you got through yesterday okay  do as many fun things as possible today! &lt;3",4,"Mon Jun 01 23:54:40 PDT 2009",1
"209","is well bored in Science, meant to be revising ",4,"Thu May 14 06:32:51 PDT 2009",0
"210","He just hurt me. I can not believe he would say that.  enjoythefall;*",0,"Sun Jun 07 13:49:18 PDT 2009",0
"211","Internet access farked up. Can't load most pages and no images ",0,"Thu Jun 18 19:08:41 PDT 2009",0
"212","Land of the Lost was funny  !",4,"Fri Jun 05 23:33:01 PDT 2009",0
"213","Awe that steak was amazin. Listening to grimmy now. I miss colin. ",0,"Mon Jun 01 15:51:55 PDT 2009",0
"214","No worries, it's my pleasure @MAS   AC",4,"Tue Jun 02 22:51:11 PDT 2009",1
"215","grrrrr I just pulled something in my neck....I hate when that happens! it hurts ",0,"Wed Jun 17 17:50:19 PDT 2009",0
"216","@stefanomuti Hey! You're in a cheery mood today, it's like you ran a marathon. Wait, you did ",4,"Mon May 18 07:11:54 PDT 2009",1
"217","Left the dentist, my teeth are in some pain now  got some chips an guac from chiptole, gettin gas then goin back to pool ..",0,"Tue Jun 23 16:04:43 PDT 2009",0
"218","@ioeides Hello you! welcome to the twitterverse ",4,"Sat May 09 22:31:33 PDT 2009",1
"219","Strawberry banana and vanilla wafer yogurt land. I'm quite happy right now ",4,"Sun May 03 19:41:19 PDT 2009",0
"220","http://twitpic.com/7oiqc - last day ",0,"Wed Jun 17 19:55:59 PDT 2009",0
"221","@standinginalley no..nxt week is chilling out time for me with my mum ",4,"Sat May 30 14:33:33 PDT 2009",1
"222","heading out to California this morning....I'm a little traveled out.  ",0,"Wed Jun 03 04:25:12 PDT 2009",0
"223","Keep Eastern Shore, Ash, and I in your prayers. We're having car troubles. ",0,"Fri Jun 19 13:24:26 PDT 2009",0
"224","@Gailporter Know the feeling, been woke up by the rain  x",0,"Sat Jun 06 23:39:04 PDT 2009",1
"225","had so wished 2 vist d oxford bookstore 2day...guests arrivin @ last min....hafta visit da grocery instead ",0,"Sat Jun 06 01:54:23 PDT 2009",1
"226","has diarrhea  now i can't play with the 9 incher anymore ",0,"Sat Jun 20 11:22:56 PDT 2009",0
"227","@KELLY__ROWLAND kelllyyy u followed me on twitter but its not workinn....can u follow me again please? i stayed up all night ",0,"Mon May 04 03:26:25 PDT 2009",1
"228","REAL MEN make phone calls not send texts. Start sending guestlists MAGEC!! Can't nap ",0,"Sun May 31 14:54:40 PDT 2009",0
"229","@beingthechurch I love this... thank you. ",4,"Sun Jun 07 07:23:38 PDT 2009",1
"230","@bambi_love Could you please explain this using a beer analogy? ",4,"Tue Jun 16 06:56:57 PDT 2009",1
"231","Hopefully this works... Doing it from my phone. ",4,"Sun Apr 19 05:34:02 PDT 2009",0
